Family,PfamID,Method,KL_mean,KL_se,Nov_mean,Nov_se,SID_mean,SID_se,ValidAA
Kunitz,PF00014,SA generation,0.012607126563084962,0.0220702450698603,0.5566703893315367,0.009047010118702814,0.6069182389937109,0.0043237367134879405,1.0
Kunitz,PF00014,SA retrieval,0.036726571092594404,0.0458028580349132,0.25701489474922884,0.016262309049861062,0.7603773584905664,0.011935523345436166,1.0
Kunitz,PF00014,Bootstrap,0.001442679153996124,0.011889861841624343,1.5543122344752193e-17,2.7083081382040568e-17,1.0,0.0,0.9978616352201254
Kunitz,PF00014,HMM emit,0.029686843035866092,0.011328992403699566,0.6654534689643057,0.004091625608935382,0.22943396226415108,0.0064918167179015464,1.0
Kunitz,PF00014,EvoDiff,0.011178988078415105,0.012318079418162077,0.6209001054216572,0.007882982282245295,0.4338364779874211,0.0073415568650733775,1.0
Kunitz,PF00014,MSA Transformer,0.023740571132191968,0.01775343293091027,0.5984203484421329,0.009400289210932927,0.3384905660377359,0.013147180567803675,1.0
zf-C2H2,PF00096,SA generation,0.012527271739745285,0.05770593244307188,0.595733877286815,0.010141485728018505,0.5573913043478258,0.0066883596390893574,1.0
zf-C2H2,PF00096,SA retrieval,0.021004415724925455,0.18153858824785787,0.16702959333611858,0.014342824498224103,0.8481159420289851,0.01335287445342826,1.0
zf-C2H2,PF00096,Bootstrap,0.0018280424659323606,0.06827119566460886,5.773159728050814e-17,3.202018882859919e-17,1.0,0.0,0.9979710144927537
zf-C2H2,PF00096,HMM emit,0.00620357299353092,0.038343717034923834,0.6700055674876848,0.0038737959257697983,0.41507246376811563,0.007573046588237373,1.0
zf-C2H2,PF00096,EvoDiff,0.0033070482888898902,0.0526922846277107,0.6456719351356979,0.007226495183765997,0.4692753623188404,0.00463299363304534,1.0
zf-C2H2,PF00096,MSA Transformer,0.013760545013886308,0.043775295967550275,0.6187068737991865,0.0072661322857271145,0.47681159420289865,0.007306100707468753,1.0
PDZ,PF00595,SA generation,0.037509747185360716,0.01666304261124974,0.41763404636962276,0.009234208960738222,0.5425702811244981,0.005262899125497983,1.0
PDZ,PF00595,SA retrieval,0.05885627566943038,0.03828516179417279,0.2360909681542104,0.01668699191824943,0.6256224899598396,0.014308644186397155,1.0
PDZ,PF00595,Bootstrap,0.0010238522950403962,0.008613794628762347,-9.251858538542972e-17,1.2600530522704447e-17,1.0,0.0,0.9608835341365469
PDZ,PF00595,HMM emit,0.012255252652059024,0.004962059780370373,0.5912210511512438,0.004474529014071866,0.1426506024096385,0.0035429382660895925,1.0
PDZ,PF00595,EvoDiff,0.004659544226402493,0.007145743700626112,0.343545217518506,0.02014170402242521,0.43606425702811236,0.016348877302436428,1.0
PDZ,PF00595,MSA Transformer,0.03223174729626887,0.004304286194656701,0.36670633634464456,0.01588201835647607,0.2980722891566266,0.015336434314233588,1.0
Pkinase,PF00069,SA generation,0.03497144650185084,0.001048609088721497,0.4775576820780186,0.01105909277466947,0.5151653944020356,0.003675498799856592,1.0
Pkinase,PF00069,SA retrieval,0.04956345352437918,0.011012599928477853,0.3156513931501254,0.013294652050976404,0.5305597964376592,0.005895650045133461,1.0
Pkinase,PF00069,Bootstrap,0.00023070993344339138,0.0009499049958540613,4.144832625267251e-17,2.060899244881926e-17,1.0,0.0,0.9488804071246816
Pkinase,PF00069,HMM emit,0.018836881906735527,0.0011159413062694166,0.5610403526717724,0.006071224516245975,0.1124936386768448,0.002080904852952341,1.0
Pkinase,PF00069,EvoDiff,0.17341776030527623,0.025044163993890985,0.55369548195655,0.007802249178960354,0.14725190839694666,0.004547181786363376,1.0
Pkinase,PF00069,MSA Transformer,0.05187426212673105,0.003811110789166762,0.5348237061127072,0.0058576177456661285,0.0920356234096692,0.0017775380049741166,1.0
Defensin_beta,PF00711,SA generation,0.022424154844041092,0.057781312733842585,0.4015703979755712,0.013270312115576442,0.6548148148148151,0.00664178697937252,1.0
Defensin_beta,PF00711,SA retrieval,0.02527185013124089,0.1566657247428161,0.16624201537707933,0.014813377612607313,0.7900000000000001,0.01459057625890451,1.0
Defensin_beta,PF00711,Bootstrap,0.0022206400554801928,0.04315506386952927,-5.181040781584064e-17,2.087130589655336e-17,1.0,0.0,0.9855555555555567
Defensin_beta,PF00711,HMM emit,0.031338742403092416,0.012385602490436654,0.5741603033783044,0.006893053069709678,0.36185185185185165,0.006810565614013438,1.0
Defensin_beta,PF00711,EvoDiff,0.009103127208026605,0.03496227194870612,0.38873646607750945,0.01211099755493544,0.5696296296296294,0.009397688083662835,1.0
Defensin_beta,PF00711,MSA Transformer,0.03831511099239897,0.052457308431684,0.31608909071732433,0.016811887323019598,0.5895895895895894,0.014834756693292574,1.0
