Family,PfamID,K,L,d_PCA,Method,β,MALA_AR,Novelty,Diversity,Energy,SeqID,ValidAA,KL_AA
PDZ,PF00595,44,83,37,SA (generation),6,,0.5759208695689494,1.000063366905119,2.4776820754741595,0.542570281124498,1.0,0.037509747185360716
PDZ,PF00595,44,83,37,MALA,65,0.9983466666666667,0.19697823644175247,0.9970532575299982,-0.21054784860514889,0.6352610441767068,1.0,0.05557014004606923
PDZ,PF00595,44,83,37,SA (retrieval),65,,0.19836534949667436,0.9927585433564396,-0.21303794474454243,0.6256224899598394,1.0,0.05885627566943038
Pkinase,PF00069,37,262,34,Convex combination,65,,0.4463243218516527,0.9991430070033761,-0.08724362757562344,0.46984732824427483,1.0,0.062088855659553924
Pkinase,PF00069,37,262,34,Gaussian perturbation,65,,0.004917169686718823,0.9988315665443114,-0.4949435892851389,0.5334860050890585,1.0,0.05140416913129907
Pkinase,PF00069,37,262,34,Bootstrap,65,,-5.181040781584064e-18,1.000903251499708,-0.49999999999992345,0.5220356234096691,1.0,0.05380664260364825
Pkinase,PF00069,37,262,34,SA (generation),6,,0.5631152355092784,1.0007431102624347,2.1474897885634743,0.5151653944020356,1.0,0.03497144650185084
Pkinase,PF00069,37,262,34,MALA,65,0.9984999999999999,0.18886055100476246,0.9990649316429087,-0.24015090094423916,0.5323918575063614,1.0,0.04946295023382316
Pkinase,PF00069,37,262,34,SA (retrieval),65,,0.18723849364972386,1.0005796762615906,-0.24632813793861877,0.530559796437659,1.0,0.04956345352437918
Defensin_beta,PF00711,45,36,37,Convex combination,65,,0.44145052568155035,0.9723785900346906,-0.08664398290803993,0.7157407407407407,1.0,0.7075640592866503
Defensin_beta,PF00711,45,36,37,Gaussian perturbation,65,,0.005545747832581514,0.9940700620757862,-0.4942812197979457,0.8351851851851854,1.0,0.023300027912128235
Defensin_beta,PF00711,45,36,37,Bootstrap,65,,-7.919590908992784e-17,1.001716215433491,-0.5000000150612346,0.8364814814814815,1.0,0.01952038102071464
Defensin_beta,PF00711,45,36,37,SA (generation),6,,0.5827913212519185,1.0001304953911452,2.4695708774555776,0.6548148148148147,1.0,0.022424154844041092
Defensin_beta,PF00711,45,36,37,MALA,65,0.9983133333333335,0.20124702620032275,0.9976985541498757,-0.21032035092967302,0.8051851851851852,1.0,0.021250761327809488
Defensin_beta,PF00711,45,36,37,SA (retrieval),65,,0.2018784464960277,0.9986733407982644,-0.2128679635021469,0.7899999999999999,1.0,0.02527185013124089
